movieInfo,title,star,quote
"
                            导演: Jean-Pierre Jeunet   主演: 奥黛丽·塔图 Audrey Tautou / 马修·卡索...;
                            2001 / 法国 德国 / 喜剧 爱情
                        ;
                                ;
                            ",天使爱美丽 / Le fabuleux destin d'Amélie Poulain / 艾蜜莉的异想世界(台)  /  天使艾米莉,8.7,法式小清新。 
"
                            导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang;
                            1994 / 中国大陆 香港 / 剧情 家庭
                        ;
                                ;
                            ",活着 / 人生  /  Lifetimes,9.0,张艺谋最好的电影。
"
                            导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 詹妮弗·...;
                            2001 / 美国 / 传记 剧情
                        ;
                                ;
                            ",美丽心灵 / A Beautiful Mind / 有你终生美丽(港)  /  美丽境界(台),8.9,爱是一切逻辑和原由。
"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...;
                            2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险
                        ;
                                ;
                            ",指环王1：魔戒再现 / The Lord of the Rings: The Fellowship of the Ring / 魔戒首部曲：魔戒现身  /  指环王I：护戒使者,8.9,传说的开始。
"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...;
                            2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险
                        ;
                                ;
                            ",指环王2：双塔奇兵 / The Lord of the Rings: The Two Towers / 魔戒二部曲：双城奇谋  /  指环王II：双塔,8.9,承前启后的史诗篇章。
"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...;
                            1974 / 美国 / 剧情 犯罪
                        ;
                                ;
                            ",教父2 / The Godfather: Part Ⅱ / 教父续集  /  教父II,9.1,优雅的孤独。
"
                            导演: 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman / 布...;
                            1995 / 美国 / 剧情 犯罪 悬疑 惊悚
                        ;
                                ;
                            ",七宗罪 / Se7en / 火线追缉令  /  7宗罪,8.7,警察抓小偷，老鼠玩死猫。
"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...;
                            2004 / 日本 / 爱情 动画 奇幻 冒险
                        ;
                                ;
                            ",哈尔的移动城堡 / ハウルの動く城 / 呼啸山城  /  霍尔的移动城堡,8.8,带着心爱的人在天空飞翔。
"
                            导演: 梅尔·吉布森 Mel Gibson   主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...;
                            1995 / 美国 / 动作 传记 剧情 历史 战争
                        ;
                                ;
                            ",勇敢的心 / Braveheart / 惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台),8.8,史诗大片的典范。
"
                            导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 酒井美纪 Mik...;
                            1995 / 日本 / 剧情 爱情
                        ;
                                ;
                            ",情书 / Love Letter / When I Close My Eyes  /  Letters of Love,8.8,暗恋的极致。
